IP:PORT, LOSS, DELAY
162.159.192.191:7559,0.00%,125 ms
162.159.192.20:7559,0.00%,125 ms
162.159.195.164:4177,0.00%,128 ms
188.114.97.116:7559,0.00%,128 ms
162.159.195.231:7559,0.00%,129 ms
162.159.195.212:7559,0.00%,130 ms
162.159.192.137:4177,0.00%,131 ms
162.159.192.191:4177,0.00%,131 ms
188.114.98.14:4177,0.00%,131 ms
162.159.192.174:7559,0.00%,131 ms
162.159.192.230:4177,0.00%,132 ms
188.114.99.183:7559,0.00%,132 ms
188.114.96.18:7559,0.00%,132 ms
162.159.192.14:7559,0.00%,133 ms
188.114.99.61:7559,0.00%,134 ms
162.159.192.230:7559,0.00%,134 ms
162.159.195.164:7559,0.00%,134 ms
162.159.192.42:7559,0.00%,134 ms
188.114.96.148:7559,0.00%,134 ms
188.114.96.6:4177,0.00%,135 ms
162.159.192.42:4177,0.00%,135 ms
162.159.192.14:4177,0.00%,135 ms
162.159.192.137:7559,0.00%,135 ms
188.114.96.18:4177,0.00%,135 ms
188.114.96.23:7559,0.00%,135 ms
162.159.192.20:4177,0.00%,135 ms
162.159.192.174:4177,0.00%,135 ms
188.114.96.8:4177,0.00%,136 ms
188.114.96.23:4177,0.00%,136 ms
162.159.195.231:4177,0.00%,136 ms
188.114.96.246:4177,0.00%,136 ms
188.114.96.246:7559,0.00%,136 ms
188.114.97.179:4177,0.00%,136 ms
162.159.195.250:4177,0.00%,137 ms
162.159.195.184:7559,0.00%,137 ms
162.159.195.175:7559,0.00%,137 ms
188.114.98.122:4177,0.00%,137 ms
188.114.97.179:7559,0.00%,137 ms
162.159.195.182:4177,0.00%,138 ms
162.159.195.207:7559,0.00%,138 ms
162.159.195.184:4177,0.00%,138 ms
162.159.195.182:7559,0.00%,139 ms
162.159.195.207:4177,0.00%,139 ms
188.114.99.183:4177,0.00%,141 ms
188.114.99.61:4177,0.00%,141 ms
188.114.98.63:4177,0.00%,142 ms
188.114.98.70:7559,0.00%,142 ms
188.114.98.3:7559,0.00%,142 ms
188.114.98.122:7559,0.00%,143 ms
188.114.99.166:7559,0.00%,143 ms
188.114.98.3:4177,0.00%,143 ms
188.114.98.70:4177,0.00%,144 ms
188.114.96.148:4177,10.00%,215 ms
162.159.195.212:4177,10.00%,215 ms
162.159.195.175:4177,10.00%,215 ms
188.114.96.8:7559,10.00%,217 ms
162.159.195.250:7559,10.00%,218 ms
188.114.96.6:7559,10.00%,219 ms
188.114.97.27:7559,10.00%,220 ms
188.114.97.116:4177,10.00%,221 ms
188.114.98.63:7559,10.00%,222 ms
188.114.98.241:4177,10.00%,228 ms
188.114.97.27:4177,10.00%,229 ms
188.114.98.14:7559,20.00%,309 ms
188.114.98.241:7559,20.00%,315 ms
188.114.99.166:4177,30.00%,394 ms
188.114.98.167:4177,30.00%,401 ms
188.114.97.170:4177,50.00%,563 ms
188.114.97.88:7559,50.00%,563 ms
162.159.192.144:7559,50.00%,563 ms
162.159.192.254:7559,50.00%,564 ms
162.159.192.47:7559,50.00%,564 ms
188.114.96.235:4177,50.00%,565 ms
188.114.99.31:7559,50.00%,565 ms
162.159.192.144:4177,50.00%,566 ms
188.114.97.117:7559,50.00%,566 ms
162.159.192.125:7559,50.00%,566 ms
162.159.195.130:7559,50.00%,566 ms
188.114.97.13:4177,50.00%,567 ms
188.114.97.104:4177,50.00%,567 ms
188.114.98.87:7559,50.00%,567 ms
162.159.195.204:4177,50.00%,567 ms
188.114.97.232:4177,50.00%,567 ms
162.159.192.125:4177,50.00%,567 ms
162.159.195.15:4177,50.00%,567 ms
162.159.195.159:7559,50.00%,567 ms
162.159.192.154:4177,50.00%,568 ms
162.159.192.207:4177,50.00%,568 ms
162.159.192.228:7559,50.00%,568 ms
162.159.195.204:7559,50.00%,568 ms
162.159.192.207:7559,50.00%,568 ms
188.114.97.13:7559,50.00%,568 ms
188.114.99.174:7559,50.00%,568 ms
188.114.97.70:4177,50.00%,568 ms
162.159.192.154:7559,50.00%,568 ms
162.159.192.254:4177,50.00%,568 ms
162.159.192.228:4177,50.00%,568 ms
188.114.96.140:4177,50.00%,568 ms
188.114.98.154:4177,50.00%,569 ms
188.114.96.176:4177,50.00%,569 ms
188.114.96.214:4177,50.00%,569 ms
162.159.192.47:4177,50.00%,569 ms
188.114.96.235:7559,50.00%,569 ms
188.114.96.176:7559,50.00%,569 ms
188.114.96.214:7559,50.00%,569 ms
188.114.96.59:4177,50.00%,570 ms
162.159.195.130:4177,50.00%,570 ms
188.114.96.140:7559,50.00%,570 ms
188.114.97.117:4177,50.00%,570 ms
188.114.97.104:7559,50.00%,570 ms
188.114.96.59:7559,50.00%,570 ms
162.159.195.15:7559,50.00%,571 ms
188.114.99.123:7559,50.00%,571 ms
162.159.195.159:4177,50.00%,571 ms
188.114.98.247:4177,50.00%,571 ms
188.114.97.34:7559,50.00%,571 ms
188.114.97.163:4177,50.00%,571 ms
188.114.97.163:7559,50.00%,571 ms
188.114.97.34:4177,50.00%,572 ms
188.114.99.145:4177,50.00%,572 ms
188.114.99.228:7559,50.00%,572 ms
188.114.99.51:4177,50.00%,572 ms
188.114.97.170:7559,50.00%,572 ms
162.159.195.188:4177,50.00%,572 ms
162.159.195.188:7559,50.00%,572 ms
188.114.97.70:7559,50.00%,573 ms
188.114.97.88:4177,50.00%,573 ms
188.114.98.162:4177,50.00%,573 ms
188.114.98.162:7559,50.00%,573 ms
188.114.97.232:7559,50.00%,574 ms
188.114.98.154:7559,50.00%,574 ms
188.114.96.120:4177,50.00%,574 ms
188.114.96.120:7559,50.00%,574 ms
188.114.99.174:4177,50.00%,575 ms
188.114.99.31:4177,50.00%,575 ms
188.114.99.145:7559,50.00%,575 ms
188.114.99.228:4177,50.00%,575 ms
188.114.99.123:4177,50.00%,576 ms
188.114.98.76:7559,50.00%,576 ms
188.114.98.87:4177,50.00%,577 ms
188.114.99.99:4177,50.00%,577 ms
188.114.98.247:7559,50.00%,577 ms
188.114.99.51:7559,50.00%,577 ms
188.114.99.33:7559,50.00%,589 ms
188.114.99.33:4177,50.00%,590 ms
188.114.98.167:7559,60.00%,651 ms
188.114.98.76:4177,60.00%,654 ms
188.114.99.99:7559,80.00%,826 ms
162.159.193.151:4177,100.00%,1000 ms
162.159.204.118:7559,100.00%,1000 ms
162.159.193.206:4177,100.00%,1000 ms
162.159.193.202:7559,100.00%,1000 ms
162.159.193.200:7559,100.00%,1000 ms
162.159.193.122:7559,100.00%,1000 ms
162.159.193.214:4177,100.00%,1000 ms
162.159.193.202:4177,100.00%,1000 ms
162.159.193.122:4177,100.00%,1000 ms
162.159.193.206:7559,100.00%,1000 ms
162.159.193.105:4177,100.00%,1000 ms
162.159.193.194:4177,100.00%,1000 ms
162.159.193.200:4177,100.00%,1000 ms
162.159.193.105:7559,100.00%,1000 ms
162.159.193.194:7559,100.00%,1000 ms
162.159.193.109:4177,100.00%,1000 ms
162.159.193.109:7559,100.00%,1000 ms
162.159.204.147:7559,100.00%,1000 ms
162.159.193.7:7559,100.00%,1000 ms
162.159.204.147:4177,100.00%,1000 ms
162.159.204.84:4177,100.00%,1000 ms
162.159.204.139:7559,100.00%,1000 ms
162.159.204.241:7559,100.00%,1000 ms
162.159.204.36:7559,100.00%,1000 ms
162.159.204.139:4177,100.00%,1000 ms
162.159.193.151:7559,100.00%,1000 ms
162.159.193.214:7559,100.00%,1000 ms
162.159.204.118:4177,100.00%,1000 ms
162.159.193.31:4177,100.00%,1000 ms
162.159.193.49:7559,100.00%,1000 ms
162.159.193.254:4177,100.00%,1000 ms
162.159.193.254:7559,100.00%,1000 ms
162.159.204.143:7559,100.00%,1000 ms
162.159.193.31:7559,100.00%,1000 ms
162.159.193.49:4177,100.00%,1000 ms
162.159.204.134:4177,100.00%,1000 ms
162.159.204.40:7559,100.00%,1000 ms
162.159.204.211:4177,100.00%,1000 ms
162.159.204.88:4177,100.00%,1000 ms
162.159.204.77:4177,100.00%,1000 ms
162.159.204.211:7559,100.00%,1000 ms
162.159.204.241:4177,100.00%,1000 ms
162.159.204.42:4177,100.00%,1000 ms
162.159.204.143:4177,100.00%,1000 ms
162.159.204.42:7559,100.00%,1000 ms
162.159.204.134:7559,100.00%,1000 ms
162.159.204.36:4177,100.00%,1000 ms
162.159.204.88:7559,100.00%,1000 ms
162.159.204.84:7559,100.00%,1000 ms
162.159.193.7:4177,100.00%,1000 ms
162.159.204.77:7559,100.00%,1000 ms
162.159.204.40:4177,100.00%,1000 ms
